Indonesia,Javanese,Alphabet
andaka,banthèng.,a
andalan,"cêkêlan, tanggungan.",a
andam,diandam: ditata lan dicukur tmr. rambut lsp.,a
andang,obor blarak lsp.,a
andang-andang,kayu (wêsi) panggantungan layar.,a
andar,i mati andar: mati tanpa guna; mati tanpa sabab; mati ora dibêlèh (tmr. kewan). ii sêjati; bapa andar: bapa têmênan (dudu kuwalon lsp.). iii diandarkan: dicritakake; diandharake.,a
andawali,bratawali.,a
anderak,luwangan pasangan gajah.,a
andika,panjênêngan.,a
andon,mengandon perang: nglurug pêrang.,a
anduh,"dianduh: diêmban (digantung) nganggo tali lsp.; anduhan: êmban-êmban (tali lsp.), tali panggantungan sêkoci lsp.",a
anduk,andhuk.,a
andung,wit andong.,a
"andur, anur",grobag kêbo.,a
aneh,anèh.,a
aneka (-warna),warna-warna.,a
anfas,akèh ajine.,a
angan(-angan),"angên-angên, gagasan; angan-angan: mbokmanawa; diangan(-angan): digagas-gagas, diangên-angên.",a
angau,kc. anggau.,a
angga,"berangga, merangga: branggah (tmr. sungu).",a
anggai,"sasmita, ngalamat.",a
anggal,anggêl (ora kakehan momotan tmr. prau).,a
anggap,i ut. menganggap: ndhungkluk ngancarani ngajak ngombe lsp.; beranggap-anggapan: padha dene ngancarani ndhungkluk. ii dianggap: dianggêp kaya.,a
anggar,"dianggar: dikira-kira, dipetung, dirancang; anggaran: 1 pangira-ira (petungan lsp.); 2 rancangan, rantaman; 3 wêwatoning pakumpulan (setatuten).",a
anggara,setua anggara: kewan galak.,a
anggau,"menganggau: manglung (ngungak), ngranggèh.",a
anggau-anggau,manuk bango; kc. bangau.,a
anggerik,anggrèk.,a
anggerka,bngs. jubah.,a
anggit,"dianggit: 1 digandhèng rêrentengan tmr. wêlit lsp.; 2 ditrapi tali pênjalin tmr. kêndhang lsp.; 3 dironce, dikarang.",a
anggota,"1 anggota (tangan lan sikil); 2 warga, lid.",a
angguk,"mengangguk: manthuk, manggut-manggut.",a
anggul,"menganggul: ndhangak munggah, njêngat munggah tmr. canthiking prau lsp.; teranggul-anggul: njêngat-njêngat munggah-mudhun tmr. prau.",a
anggun,"1 alus lan bêcik tmr. wangun, garapan lsp.; 2 tata sarta alus tmr. solah tingkah.",a
anggung,"dianggung: dijongkèng, dijunjung.",a
