Indonesia,Javanese,Alphabet
rial,reyal (f 2).,r
rialat,"prihatin (tapa, ngêngurangi).",r
riam,bantaran (ing kali).,r
rian,ar. petungan lawe (40 rian = 1 tukal; rian = 1 untai).,r
riang,i rada ngambang ênggone mêlahi. ii 1 (-semangat) singunên; 2 (-hati) bungah bangêt. iii riang-riang: 1 gangsir; 2 ar. têtuwuhan.,r
riap,"(ut. meriap) mundhak gêdhe tmr. bocah, têtuwuhan lsp.",r
rias,"arès, (ati gêdêbog).",r
riau,meriau: ngêbor êmas.,r
riba,i (ut. ribaan) pangkon; diriba: dipangku. ii ut. riba': wong kang nganakake dhuwit; makan riba: nganakake dhuwit.,r
ribu,èwu; beribu-ribu: ewon; ribu-ribu: ar. sukêt.,r
ribut,"1 (angin-) prahara, angin gêdhe; 2 ribut, gègèr, rame.",r
ricau,mericau: pating cruwèt.,r
ridai,"diridaikan: ditarang, digaringake srana digantung.",r
ridan,ar. wit.,r
riding,"bngs. jaring gêdhe kanggo masangi kewan.
--- 150 ---",r
ridla,"lila, kc. rela.",r
rihal,"rekal (sanggan buku, koran).",r
rijalulgaib,roh kang nguwasani bêgja cilakaning manungsa.,r
rik,swara mak gêrit.,r
rimas,gumrobyos kringête.,r
rimau,macan; kc. harimau.,r
rimba,alas gêdhe.,r
rimban,"lambunging prau; merimban: nglambung (tmr. ombak, angin).",r
rimbang,merimbang: mêthêthi damèn.,r
rimbas,"bngs. pêthèl kanggo ngrata kayu, matun lsp.",r
rimbat,"pênjalin (pring) ing lambening prau; merimbat: mbabit, nggêbug nisih.",r
rimbit,"rêkasa (ribêd), ewuh (kakehan pagaweyan); dirimbitkan: diribêdi, diêngèl-êngèl.",r
rimbu,alas gêdhe; kc. rimba.,r
rimbun,"1 kêtêl tmr. wit, rambut lsp. 2 akèh layare tmr. prau.",r
rimis,ar. dhuwit biyèn.,r
rimpang,"rimpang (êmpu kunir, jae lsp).",r
rimpi,sale gêdhang ut. wowohan liyane.,r
rimpuh,1 sayah bangêt; 2 jêmpo.,r
rinai,merinai: rêngêng-rêngêng.,r
rincuh,"bingung, kisruh.",r
rindang,"ngrêmbaka, ngrêmbuyung.",r
rindu,kangên; dirindukan: dikangêni; rindu dendam: kangên bangêt.,r
ring,"swara kring, cring.",r
ringan,"ènthèng, mayar; diringankan: 1 diènthèngake, dimayarake; 2 dianggêp ènthèng, disêpèlèkake; ringan kaki: enthengan; ringan tangan: cêngkiling, gampang tumandang; ringan kepala: gathekan.",r
ringgit,"1 gêrêt-gêrêt ing lingiring dhuwit ukon lsp; 2 dhuwit ringgit (ringgit, dholar); beringgit: gêrêt-gêrêt.",r
ringin,sapu ringin: ar. dolanan bocah.,r
ringka,pinggiraning caping.,r
ringkai,"garing tmr. bayu, lêmah, roti lsp; diringkai: digaringake sarana diepe lsp.",r
ringkas,"cêkak, ringkês; diringkaskan: dicêkak, diringkês.",r
ringkik,meringkik: mbêngingèh.,r
rinjing,dirinjing: diwingkis tmr. lêngên tangan.,r
rintak,dirintak: disêndhal tmr. pancing lsp.,r
rintang,"merintang: malang; dirintangi: 1 dipalangi, dipênggak; 2 dirigoni, dialang-alangi; rintangan: alangan; kc. lintang.",r
rintas,"merintas: nyidhat, nrabas; kc. lintas.",r
rintik,"plênik-plênik tmr. ulês lsp; hujan rintik-rintik: grimis, kêpyur-kêpyur.",r
rintis,"merintis: mbukak dalan, cakal bakal; perintis jalan: kang mbukani (ndhisiki), cakal bakal.",r
rinyau,ar. iwak sagara.,r
ripi,"driji manuk, pitik lsp.",r
ris,tampar dianggo mbanda.,r
risa,"mênyonyo, bênjut, uci-uci lsp.",r
risalat,andharan ringkêsan.,r
risau,"1 ala kalakuane (ugal-ugalan lsp); 2 (-hati) gorèh, ora jênjêm; merisau: ugal-ugalan, clunthangan lsp.; perisau: wong urakan, bangsat.",r
risik,"pamriksa, dhêdhêmitan; dirisik: ditanjihake, dipriksa (ditari, didhêdhês lsp) dhêdhêmitan.",r
riuh,rame bangêt; riuh rendah: gumuruh rame.,r
riuk,"1 mingêr nglèyèk (kaya yèn njogèt lsp); 2 (patah-) kêtêkuk, kêsliyo.",r
riung,ar. sukêt.,r
riwayat,"crita, babad; diriwayatkan: dicritakake.",r
roba,"1 bêbungah kanggo mbêsêli, rêruba; 2 (ut. roba-roba) prabeyaning palabuhan, wragad prakaran.",r
robak-rabik,suwèk rontang-ranting.,r
robek,suwèk.,r
roboh,"rubuh, ambruk.",r
robok,swara mak blêkuthuk; merobok: nywara blêkuthuk (kriyung).,r
roda,rodha.,r
rodan,"kêlaran, sêrik bangêt.",r
rodi,1 prentahing nagara; 2 gugur-gunung.,r
rodok,dirodok: dijojoh ing tumbak lsp.,r
rodong,"sahabat rodong: kanca barêngan lêlungan, kanca supêkêt; merodong: ngulandara golèk pangupajiwa.",r
rogol,dirogol: diprusa (tmr. wong wadon).,r
roh,"roh.
--- 151 ---",r
rojol,"merojol: mrojol, mbrojol.",r
rokok,rokok; merokok: udud.,r
roma,rambut ut. wulu ing badan.,r
roman,"i rupa, wanda, praèn. ii 1 mêrang; 2 kulit pari lsp., gagang manggar lsp.",r
rombak,"dirombak: dibubrah, dirombak.",r
rombong,rêmbêng (sênik gêdhe).,r
rombongan,grombolan.,r
romet,meromet: ênak-ênik nggêgarap kang alus-alus.,r
romok,meromok: nyêkukruk.,r
rompak,dirompak: dibajag; perompak: bajag.,r
rompang,"dawir, suwir; rompang-romping: pating sluwir.",r
rompeng,"gripis, krowok sathithik, dawir tmr. irung, kuping lsp.",r
rompes,"gowèng, gêmpil.",r
rompok,"plipidan ut. sèrèt (tmr. jarit, klambu lsp).",r
rona,warna.,r
roncet,"meroncet, beroncet-roncet: pating krêncil têkane, saka sathithik undhake.",r
ronda,"rondha; meronda: rondha, nganglang.",r
rondah-randih,pating grèwèng.,r
rongak,"ana kang copot (ompog, ilang) tmr. untu, pagêr, lsp.",r
rongga,"gronggongan, growongan, lowahan; merongga: nggronggong.",r
ronggeng,tlèdhèk.,r
ronggok,"grombolan, têtumpukan, pêpanthan; meronggok: 1 mêthutuk; 2 nyêkukruk.",r
rongkok,merongkok: ndhungkluk tangane tumapak ing dhêngkul.,r
rongkong,"tulupan, bolongan ububan; (ke)- rongkongan: gurung, êlêd-êlêd.",r
rongseng,"merongseng: 1 ora lêga atine, rèwèl, beka; 2 gêdumêlan, grundhêlan; kc. roseng.",r
ronta,meronta (-ronta): kroncalan bangga.,r
rontok,rontog.,r
ronyeh,meronyeh: gunêman umad-umêd.,r
ronyok,1 rènyèk mari kaku tmr. dluwang lsp; 2 pating glombyor tmr. rai.,r
ropak,pating blengkrah.,r
roseng,"meroseng: rèwèl, beka, gêdumêlan.",r
rotan,pênjalin; merotan: golèk pênjalin; dirotan: disabêti nganggo pênjalin.,r
roti,roti.,r
rotok,merotok: grênêngan.,r
royak,"meroyak: mbabrak, mundhak amba, saya bangêt tmr. nangis.",r
royat,wêwujudan ing pangimpèn.,r
ru,wit cêmara; kc. eru.,r
rua,"ut. merua: udhar, njênggar, mêlar.",r
ruabat,upacara pakurmatan.,r
ruah,"i diruah: dicêluk saka kadohan; seruahan: sapênyêluk. ii tumpah ruah: sok glogok, sosokan; diruahkan: disokake, disuntak. iii ruwah.",r
ruai,"ringkih, ora pêngkuh, ora awèt, gampang rusak.",r
ruak,"i meruak: ngambra-ambra, mrèmèn-mrèmèn, ndrêbala tmr. kasugihan. ii ruak-ruak: bngs. kontul.",r
ruam,"pruntus-pruntus: meruam: mruntus, pating pruntus.",r
ruan,iwak kutuk; kc. aruan.,r
ruang,"1 lowahan, gêdhogan; 2 kolêman ing layang kabar lsp; 3 juringan durèn; diruang: dirêsiki tmr. mayit.",r
ruap,"meruap: umob, ngukus, nguwab; kc. uap.",r
ruas,ros(-rosan).,r
ruat,"i 1 oklak-aklik, oyag-ayig; 2 ent. ora têtêp panêmune, gojag-gajêg. ii meruat: malih dadi manusa (tmr. macan gadhungan lsp).",r
ruba,kc. roba.,r
rubah,bngs. luwak.,r
rubai,bngs. kidungan 4 larik.,r
ruban,air ruban: saèm. unthuk (umpluk nalika gawe lênga klêntik); kain ruban: bngs. motha; diruban: dirêsiki umpluke tmr. lênga klêntik.,r
rubba,bngs. asu ajag.,r
rubiah,1 wong wadon mungkul ing agama; 2 wong nganakake dhuwit.,r
rubing,blabag wuwuhan ing bambing prau kanggo ngadhangi ombak lsp.,r
rubu,"merubu, merubu-rubu: mlaku numbuk bêntus, mlaku tanpa tujuan.",r
rubung,kc. kerubung.,r
rudi,"i kêncèt; kc. keting.
--- 152 ---",r
rudu,pêndul (tlapukan mata).,r
rudus,pêdhang acèh.,r
rugi,"tuna, pituna; merugi: kapitunan; dirugikan: ditunakake, dipitunani; kerugian: kapitunan, gêgênti.",r
ruh,roh.,r
ruhulkudus,roh suci.,r
ruing,likasan lawe ing panênunan.,r
ruit,"1 nyanthuk ut. nggrèthèl kyt. ripandhan; 2 (ut. seruit) canthuk, grèthèl.",r
rujah,"dirujah: dijojoh, dicocog.",r
ruji,pangan padinan (sêga).,r
"ruju, rujuk","rujuk, ulih-ulihan manèh.",r
ruk,ar. manuk (mung ing dongèng).,r
rukam,wit ut. woh rukêm.,r
ruku-ruku,kêmangi.,r
rukun,1 rukuning agama islam; 2 rukun.,r
rukup,kc. rungkup.,r
rumah,"1 omah; 2 kanggo ing têmbung camboran warna-warna kyt. rumah sakit, rumah obat, rumah makan lsp; isi rumah: batih; berumah: omah-omah, manggon; perumahan: wêwijanganing prakara kang prêlu-prêlu; duduk serumah: bêbojoan.",r
rumah-tangga,"bale pomahan, omah saprabote, prakara omah-omah.",r
rumbai,1 gombyok; 2 rawis (wulu jago ing gulu).,r
rumbia,wit sagu (bngs. palêm).,r
rumit,"1 rêmbên, ora rikat; 2 tumandang gêlêm ora-ora.",r
rumpun,"dhapuran ut. uyunan (pring, têbu lsp).",r
rumput,"sukêt; merumput: golèk sukêt (ngarit), matun; rumput kemaluan: piskucing; rumput-rumputan: srompod.",r
rumus,"aksara cêkakan, up. 'a a = 'alaihi 'ssalam.",r
runas,merunas: nyênggut.,r
runcing,lancip; runcing tanduk: ora tau sêdhêkah; runcing paham: gathekan.,r
runding,"berunding: rêmbugan; merunding: 1 ngrêrantam, mêmetung; 2 ngrêmbug; dirundingkan: dirêmbug.",r
runduk,"ndhungkluk; merunduk: 1 ndhungkluk; 2 tumêlung, tumiyung.",r
rundung,"dirundung: tansah digodha, diribêdi, dirêridhu.",r
rung,balai rung: ar. bangsal ing kraton.,r
runggas,"dirunggas: disêndhal, dirênggut, dibêdhol, dibêthot.",r
runggu-rangga,pating jlêgrig.,r
rungkai,"dirungkai: diudhari ut. diuculi tmr. bundhêlan, sindhêtan lsp; kc. ungkai.",r
rungkap,"merungkap: nyêntak, songol.",r
rungkas,bngs. tirêm.,r
rungkau,rambut jaran ing êndhas; merungkau: rembyak-rembyak nutupi rai tmr. rambut.,r
rungkuh,katon kaya wis tuwa; kerungkuhan: kêtuwan.,r
rungkup,awangun (katon) kaya gathuking payon loro.,r
rungut,"merungut: kêdumêlan, grênêngan.",r
runjang,"dirunjang: ditojoh-tojoh, diogrog-ogrog.",r
runjau,ut. merunjau: dhuwur ngronje (lêncir).,r
runjung,ut. merunjung: 1 mbrunjung alancip (kaya wangun ing tumpêng); 2 munjung-munjung; (se)perunjung: (sa)-dêdêg pangawe.,r
runtai,"meruntai: nglèmbrèh, nglèwèr.",r
runtas,"diruntas: disêndhal, ditarik ngêgèt.",r
runtuh,"ambruk, jugrug.",r
runut,"tipak, tilas; merunut: 1 napak tilas (nglari, tutburi, nurut); 2 sêdhih bae.",r
rupa,"rupa; rupanya: sêmune, ayake; rupa-rupa: warna-warna; dirupakan: diwujudi, diwangun; serupa: kaya, padha rupa.",r
rupawan,endah.,r
rupiah,rupiyah.,r
rusa,mênjangan.,r
rusak,"rusak, bubrah; rusak hati: susah bangêt.",r
rusia,wadi; kc. rahasia.,r
rusuh,"rusuh, rêrusuh, gegeran.",r
rusuk,"(tulang-) iga; dirusuk: ditojoh, disogok.",r
rut,"kêconggah, bisa kuwat.",r
ruyu-ruyu,ar. iwak loh.,r
ruyung,ruyung.,r
ruyup,"1 loyop (ngantuk bangêt); 2 mèh sumurup tmr. srêngenge.
--- 153 ---

s",r
"sa, esa","siji, sawiji.",s
saat,"sangat, wêktu.",s
saba,"bersaba: sêsrawungan; disaba: ditiliki, disaba.",s
sabak,"i berbiji sabak, menyabak: nangis sêsambat. ii disabak: digodhog tmr. kilang ut. lêgèn.",s
saban,sabên.,s
"saban, syaban",sasi ruwah.,s
sabang,layar sabang: ar. layar cilik.,s
sabar,"sabar, sarèh.",s
sabas,prayoga!,s
sabbat,dina sabat (sabtu).,s
sabda,"pangandika, dhawuh; bersabda: ngandika, paring dhawuh.",s
sabil,dêdalan (marang allah); perang sabil (-allah): pêrang sabil (mungsuh wong kapir).,s
sabit,"i arit. ii ut. thabit: wis têtêp, wis mêsthi.",s
sabtu,sabtu.,s
sabuk,"sabuk, kêmbên.",s
sabun,i sabun. ii orang sabun: wong bule; sakit sabun: lara nguyuh nanah.,s
sabung,"bersabung: tarung; menyabung: adu jago; disabung(kan): diêdu tmr. jago; sabung menyabung: sêsambêran tmr. jago, blêdhèg lsp.",s
sabur,"1 uyêk-uyêkan, untêk-untêkan; 2 campur ora kêna dipilah-pilah; layar sabur: layar ing dhuwur; semut sabur: ar. sêmut; sabur limur: rêmêng-rêmêng; menyabur: ambyuk, nggrudug.",s
sabut,sêpêt (kulit krambil).,s
sadai,ut. tersadai: sumèlèh sêmu miring lêlendhehan.,s
sadak,miring tmr. tiyang.,s
sadang,pintu sadang sading: aling-aling sangarêping palungguhan pangantèn.,s
sadap,ut. penyadap: lading panderesan: disadap: didèrès.,s
sadar,"i dhadha, perangan ngarêp. ii 1 (-akan, -kan) eling marang, rumangsa: 2 (-daripada) eling, nglilir saka sêmaput, turu lsp; kc. sedar.",s
sadau,menyadau: mêlahi nganggo wêlah dawa; disadau: dipagas ingisor tmr. tala.,s
sadik,têmên-têmên tmr. pamitran.,s
sading,kc. sadang.,s
sadir,uyah amoniyak.,s
sado,sadho (ar. kreta).,s
sadu,"pinunjul, utama bangêt; sadu perdana: kang pinunjul dhewe.",s
sadur,"sadur; disadur: disadur, disêpuh êmas lsp.",s
saf,larik(an); kc. sap.,s
safa,têrang.,s
safar,sasi sapar.,s
safi,"murni, rêsik, bênêr.",s
safir,wong lêlungan; kc. musafir.,s
saga,"(-pohon, -kendiri): saga (têlik, -thunthêng).",s
sagai,ar. iwak sagara.,s
sagang,"dhoyong rubuh tmr. tumbak, bêdhil lsp; disagang: dipèpèti ing tumbak lsp. kang didhoyongake.",s
sagar,i sruwa duk. ii gula.,s
sagu,sagu.,s
sagun (-sagun),sagon.,s
sagur,lunasing prau wrata.,s
sah,"i sah, absah, bênêr ut. nyata; disahkan: disahake, dianggêp bênêr ut. nyata. ii sêkak! (tmr. main catur).",s
sahabat,"mitra, kanca.",s
sahadat,sahadat (pangandêl islam).,s
sahaja,"1 mung, ngêmungake, bae; 2 ut. bersahaja, pasaja, barès; 3 (dengan-) kalawan njarag; disahajakan: 1 dilugokake, dibarèsake; 2 disêngaja, disêdya, dijarag.",s
saham,panduman.,s
sahan,saèm. lèmpèr (layah).,s
sahaya,1 (hamba-) batur; 2 (ut. saja) inggih.,s
sahbandar,panggêdhe palabuhan.,s
"sahda, syahda",endah.,s
sahi,"kèthèr, weya.",s
sahib,kang duwe.,s
sahibulhikayat,"kang duwe crita, pangarang.
--- 154 ---",s
sahid,"syahid, saksi bab kanyataaning agama.",s
sahih,"nyata, têrang; kc. sah.",s
sahur,saur.,s
sahut,wangsulan; menyahut: mangsuli; disahuti: diwangsuli.,s
sahwat,"sahwat, cumbana.",s
said,sayid.,s
saidi,bêndara kula.,s
saidina,bêndara kula.,s
saing,"bersaing(an): 1 bêbarêngan lêlayaran; 2 jor-joran, rêbut unggul; disaingi: 1 dibarêngi ênggone lêlayaran ut. lêlungan; 2 dijori; persaingan: konkirèn, jor-joran.",s
"sair, sya'ir","têmbang, kidung; penyair: tukang ngarang kidung.",s
sais,kusir.,s
sait,"disait: diirisi tipis-tipis, dikêlèti dioncèki; kc. sayat.",s
saja,"bae, kc. sahaja.",s
"saja, sajak","1 guru lagu ut. purwakanthi ing syair ut. pantun; 2 wiramaning têmbang, kidung.",s
sajadah,klasa lèmèk sêmbayang.,s
saji,"ut. sajian: rampadan; disajikan: diladèkake, dicawisake.",s
sak,kc. syak.,s
saka,"kc. pusaka; saka-baka: prakara warisan, kawajiban marang ratu.",s
sakai,"1 karerehan, bawah; 2 ar. bangsa ing malaka.",s
sakal,"nampêk lakuning prau tmr. angin; disakal: dithuthuk, digêbug.",s
sakar,gula.,s
sakarat,sêkarat; kc. sakratu'lmaut.,s
sakat,"i disakat: dirêridhu, diganggu-gawe; tersakat: kandhas tmr. prau. ii bngs. kêmladheyan, simbar lsp.",s
sakatimuna,ar. naga ing crita.,s
sakinat,katêntrêman.,s
sakit,"1 lara; 2 (ut. penyakit) lêlara; 3 ent. rêkasa, kangelan; sakit bulan: grahana rêmbulan; sakit hati: lara atine; sakit sampar (ta'un): pagêblug, lêlara nular; menyakiti: nglarani; bersakit(-sakit): kanthi rêkasa; di(per)sakiti: dipilara, disêrikake atine; pesakitan: pasakitan.",s
sakratulmaut,sêkarat.,s
saksama,"sa'sama: 1 sabar, mêmpêng, mathêm; 2 têmên-têmên, tliti bangêt tmr. mêmriksa lsp.",s
saksi,"sêksi, pasêksèn; disaksikan: 1 disêksèni; 2 (ut. dipersaksikan) dinyatakake.",s
sakti,1 sêkti; 2 (ut. kesaktian) kasêktèn.,s
saku,"sak, kanthongan.",s
salah,"salah, luput, kliru; salah dengar: kliru pangrungune; salah faham (tampa): salah tampa; salah hati: nêpsu; salah kata: kêclenthot têmbunge; bersalah: salah; bersalahan: beda, sulaya, ora cocog; disalahi: disalahi, dipadoni, dipapali gunême; disalahkan: 1 disalahake, diluputake; 2 diendhani.",s
salah-silih,sakèhing kaluputan.,s
salai,ikan salai: iwak dikukus; disalai: dikukus ut. digarang tmr. iwak.,s
salak,"i salak. ii panjugug; menyalak: njugug, njêgog.",s
salam,1 slamêt; 2 salam (tabe); memberi salam: uluk salam.,s
salang,disalang: disuduk ing kêris saka sadhuwuring balung salang têrus ing jantung.,s
salapan,wolu; kc. delapan.,s
salasal,lara gulanên.,s
salasilah,salasilah.,s
salat,"salat, sêmbahyang.",s
salatin,para sultan.,s
salawat,"slawat, pandonga, sêmbahyangan.",s
salek,(wong lêlungan) ngambah ing alam gaib; kc. suluk.,s
sali,"kuwat, bisa lumawan; sama sali: babag, tandhing.",s
salib,salib.,s
salin,"bersalin: 1 ganti, malih; 2 mbabar (duwe anak); disalin: 1 disalini; 2 ditêdhak, diturun; 3 dijarwakake (dipêrtal); dipersalin: diganjar sandhangan; persalin(an): ganjaran sandhangan; salinan: 1 turunan, têdhakan; 2 pêrtalan.",s
saling,"gênti-gêntèn, kc. saling menolong (tulung tinulung).",s
salju,salju.,s
sallallahu 'alaihi wasallama,"mugi gusti allah paring katêntrêman marang dhèwèke (kanggo nyêbut asmane k.n. mochamad, dicêkak s.a.w.).",s
salung,"bngs. suling; salung api: sêmprong.
--- 155 ---",s
salur(an),"talang, bumbungan dalan banyu, kalenan.",s
salut,"salut, srasah, blongsong.",s
salèh,"mursid, wêkêl, utama.",s
sama,"1 padha; 2 (ut. bersama-sama) bêbarêngan; 3 trêp, bênêr, kyt. sama tengah (têngah bênêr); 4 (ut. sesama) pêpadha; 5 pisan, up. sama kêduanya (karopisan); sama sekali: babarpisan, kabèh; 6 pacalathon uga atêgês karo, nganggo, dening; sama sendirinya: dhewekan; disamai: dipadhani; di(per)samakan: dipadhakake; menyama-nyama: mêmadhani.",s
samadi,sêmadi.,s
samak,i samak (wlulang mangsakan); disamak: dimangsak tmr. wlulang. ii ar. wit.,s
saman,panyêrêging pradata.,s
samar,"samar, samun; samar muka: rêmêng-rêmêng ngarêpake surup srêngenge; menyamar: nyamar, nyamoor; sêsinglon; disamarkan: disamar, disamur; nama samaran: jênêng sêsinglon.",s
sambal,sambêl.,s
sambalewa,"sêmbrana, gêlêm ora-ora; menyambalewa: nggêgarap gêlêm ora-ora (sêmbrana).",s
sambang,"i (ut. bersambang) sambang, rondha, nganglang. ii tala tawon suwung.",s
sambar,disambar: disambêr.,s
sambat,"i ut. bersambat: gandhèng, gathuk dadi siji; disambat: digandhèng, digathukake dadi siji; menyambut tangan: ngapurancang. ii bersambat: nyambat, ngrêsaya.",s
sambau,bngs. sukêt.,s
sambil,"kambi, karo; sambil menyambil: nyambi, ngiras karo.",s
sambuk,"sambuk, pêcut.",s
sambung,"disambung: 1 disambung; 2 ditutugake tmr. crita; sambungan: sambungan, tutuge.",s
sambur-limbur,"rêpêt-rêpêt, rêmêng-rêmêng (jam 6 sore).",s
sambut,"bersambutan dengan: cocog (laras) karo; disambut: 1 ditampa, ditampani kanthi urmat; 2 dipapagake kanthi urmat, ditanggapi tmr. sasmita; 3 dikulak nanging diutang tmr. dagangan; sambutan dagangan: dagangan kulakan kang diutang.",s
sami,ar. pandhita budha.,s
samir,"rèntèngan godhong sagu (wêlit sagu, dianggo payon lsp); disamir: diwêlit tmr. godhong sagu.",s
sampah,"uwuh, larahan.",s
sampai,"i 1 têkan, tutug; 2 nganti, kongsi; 3 kêlakon têmênan tmr. impèn lsp; 4 dukup, sêdhêng; disampaikan: 1 ditêkakake, ditutugake; 2 dilantarake, diaturake, diulungake; 3 dituruti, dilêksanani. ii menyampai: sumampir; disampaikan: disampirake; sampaian: sampiran, pamemeyan.",s
sampai-hati,"têgêl, têga, mêntala.",s
sampak,i alèn-alèn kuningan lsp. dianggo karah ing bongkot lan pucuking tulup. ii main sampak: ar. mainan nganggo toh dhuwit; seluar sampak: kathok kalèt.,s
sampan,ar. prau cilik.,s
sampang,i menyampang: mêlahi prau ana ing canthik ngarêp. ii sampang.,s
sampar,lêlara nular (pagêblug).,s
sampil,upih.,s
samping,"i bngs. kêtipung (tambur) keling. ii têmbing, pinggir, sandhing; disampingkan: dicakêtake, disandhing, dijèjèrake.",s
sampir,wrangka kêris kang dhuwur.,s
sampu,"i lêlaranên, uncrit-uncritên. ii menyampu: mandhêg ut. lèrèn tmr. dolanan.",s
sampuk,"disampuk: 1 ditumbuk, dibêntus, dikabruk, ditladhung; 2 digathukake pucuke tmr. tumbak lsp; 3 ditrambul tmr. rêmbug lsp.",s
sampul,"ulês, blongsong, bungkus, tapih layang, amplop; disampul: diulêsi, diblongsong, disamaki tmr. layang lsp. diamplopi.",s
samsam,"ut. siam samsam: pranakan wong
--- 156 ---",s
samsir,pêdhang gêdhe.,s
samsu,"syamsu, srêngenge.",s
samudera,samodra (sêgara gêdhe).,s
samun,"semak samun: rêrungkudan, gêgrumbulan; menyamun: mbegal; disamuni: dibegal; penyamun: begal.",s
sana,kana.,s
sanak(-saudara),sanak sadulur.,s
sanat,"taun, up. sanat masèhi.",s
sanatulhijrat,taun ijrah.,s
sandang,"slendhang,samir, slempang; 1 disandang(kan): - dicangklong ing pundhak; 2 (ut. dipersandangkan) disampirake ing pundhak, dislempangake.",s
sandar,"bersandar: lendheyan, sumendhe; sandar menyandar: lendheh-lendhehan; disandarkan: dilèndhèhake; (per)sandaran: lendheyan ing kursi lsp.",s
sandera,"mujangan, wong kang dianggo tanggungan (cêkêlan); disanderakan: dianggo mujangan, dianggo cêkêlan.",s
sanding,i ut. bersanding: sandhing. ii lingir; bersanding: nglingir.,s
sandiwara,sandiwara (tonil).,s
sandung,pidakan ut. pancatan ing panênunan lsp; tersandung: kêsandhung.,s
sang,sang.,s
sanga,têtaining luluhan logam.,s
sangai,"kêkêp (tutup kukusan), tutup saji kang digawe nipah.",s
sangat,bangêt.,s
sangga-langit,sangga-langit.,s
sangga-lutung,bngs. rambutan.,s
sanggah,"disanggah: dilawan, ditampik, diêmohi.",s
sanggam,"disanggam: digadhuh, disilih sawatara suwene.",s
sanggamara,1 palangan ing wilahan tumbak; 2 ganthol prau.,s
sanggan,"1 cuwak, sanggan, uwat-uwat; 2 (-bunuh) tumbal, tulak; sangga-sangga: paladèn ing kraton; disangga: disangga, dicuwak, diduwa; penyangga: sanggan, cuwak, plangkan; penyangga pedang: blêngkêr ing cêkêlan pêdhang.",s
sanggan,bngs. bokor kuningan.,s
sanggang,disanggang: dijunjung tangan loro sarana disangga ing ngisore.,s
sanggat,rada kandhas (nanggor dhasar) tmr. prau.,s
sangggit,"menyanggit: kêrit-kêrit, kêrot-kêrot; menyanggit gigi: kêrot untu.",s
sanggul,gêlungan.,s
sanggup,"sanggup, kêduga, kêconggah, saguh.",s
sanggurdi,sanggawêdhi.,s
sangka,"i pangira, panyana; disangka: dikira, dinyana; disangkakakan: dikira, diarani. ii bngs. keyong gêdhe.",s
sangkak,"disangkak(i): dipalangi, dialang-alangi, dicêgah.",s
sangkakala,kêlasangka (slomprèt).,s
sangkal,"i disangkal: diselaki, dibalak, dipadoni; disangkalkan: dicêgah, ditangkis, ditanggulang. ii garan wadung (palu lsp).",s
sangkap,sangkêp; ganêp; pêpak; cukup.,s
sangkar,"i ut. sangkaran: kurungan. ii garis têngah lmr. tmr. prau. iii kolongan, karah, suh, lsp. ing landheyan.",s
sangkar-bidang,palang ing têngahing prau.,s
sangkil,"1 têkan ing êndon tmr. prau, lêlungan lsp; 2 kêna pamanahe, pambêdhile lsp; 3 tumama tmr. jamu.",s
sangku,bngs. bokor gêdhe.,s
sangkur,(mata-) sangkuh bêdhil.,s
sangkut,"bersangkut: 1 sumangsang, cumanthèl, nggayut; 2 kandhêg tmr. ginêm, lumaraping pêdhang lsp; bersangkutan: gêgayutan; tersangkut: kêsangkut; sangkutan: pêpalang, rêribêd.",s
sangkut-paut,"1 gêgayutan, gèndèng cènèng; 2 bot-repot; sangkut paut dengan piutang: utange rèndhèl.",s
sangsi,"gojag-gajêg, sujana, ora pati ngandêl.",s
sangu,agêr-agêr alus.,s
sanjiman,prau kapal gêdhe.,s
santak,"disantak: disotho, dijotos.",s
santan,santên; kepala santan: santên kanil.,s
santap,"dhahar, ngunjuk; santap sirih: nggantèn.",s
santau,ar. wisa.,s
santeri,santri; kc. senteri.,s
santuk,"menyantuk: natap, njêglug; kc. antuk.",s
santun,alus tmr. patrap; sopan santun: sarwa alus patrape.,s
sanubari,sanubari.,s
sanya,"bahwa sanya (bahwa sesungguhnya): salugune, sanyatane.
--- 157 ---",s
sap,"i gombal ing wadhah mangsi; kertas sap: pèl. ii sap, larikan; bersap-sap: lêlarikan, jèjèr-jèjèr.",s
sapa,"bersapaan, tegur sapa: aruh-aruh, omong-omongan kalawan manis; disapa: diaruh-aruhi.",s
sapar,sasi sapar.,s
sapau,gubug cilik kanggo tambêl.,s
sapi,sapi.,s
sapih,"i satêngah pêpês (lumpuh, jimpe). ii sapih, pisah.",s
sapir,i sipir (tukang ngrêksa kunjara). ii bersapir: lêlungan mrana-mrana; kc. musafir.,s
sapu,"1 usap, sikat; 2 (ut. penyapu) sapu, kêlud; disapu: 1 diusapi, dibusêk; 2 disaponi, dikêludi; 3 disapu (digêbugi); disapukan: diusap-usapake, diusarake.",s
sapu-tangan,"saptangan, kacu.",s
saput,"disaput: dilimputi, kêsaput.",s
sar,"mak srêng, krênyês.",s
sara,"1 suminggah saka ing bêbaya; 2 pangrêksaning urip (kayata sarana pancèn pangan, pènsiyun lsp); 3 bageyaning brandon nyambut gawe, dagang lsp; menyara, bersara: mèlu brandon nyambut gawe.",s
"sara, syara'",anggêr-anggêr agama.,s
sara-bara,buyar mrana-mrana.,s
